"customer_id","date","location","category","sub_category","channel","tone_urgency","message"
"CUST-36772","2026-05-26","King of Prussia, PA","Food Quality","Portion size","Google Review","High",""
"CUST-83792","2025-08-05","New Britain, PA","Order Accuracy","Wrong item","Uber Eats","Moderate",""
"CUST-12A45","2025-12-04","Princeton, NJ","Food Quality","Incorrect preparation","Google Review","Low","My rice bowl was prepared completely differently from what I ordered."
"CUST12345","2025-09-23","Princeton, NJ","Billing & Pricing","Duplicate charge","Mobile App","Moderate","The payment failed in the app, but I was still charged twice. The receipt and order confirmation both show what I originally requested."
"cust-54321","2025-12-14","New Britain, PA","Food Quality","Stale ingredients","Uber Eats","Low","The nachos tasted like it had been made with yesterday's ingredients."
"CUST-1234","2025-12-13","Philadelphia, PA","Delivery","Damaged/spilled","Mobile App","Moderate","The bag arrived soaked because the salsa container spilled everywhere."
"CLIENT-99999","2026-05-26","Willow Grove, PA","Delivery","Late delivery","Mobile App","Moderate","My delivery arrived 60 minutes later than the estimate. I tried to resolve it at the restaurant but did not get much help."
"CUST-ABCDE","2026-05-14","Lansdale, PA","Order Accuracy","Missing item","DoorDash","Urgent","I paid for a nachos, but it was not in the bag."
"CUST--12345","2026-02-27","Philadelphia, PA","App & Online Ordering","App error","Phone","Low","I kept getting an error when adding items to my cart."
"BROKEN-ID","2025-11-23","King of Prussia, PA","App & Online Ordering","Order not received","In-store","Moderate","I placed and paid for an online order, but the store said they never received it. I have ordered from Taco Alley before and expected better."
"CUST-44237","2025-08-15","Warrington, PA","Order Accuracy","Missing item","Website","High","I paid for a fish tacos, but it was not in the bag."
"CUST-77033","2026-01-08","New Britain, PA","Delivery","Damaged/spilled","DoorDash","Moderate","The bag arrived soaked because the salsa container spilled everywhere."
"CUST-19171","2026-07-18","King of Prussia, PA","Order Accuracy","Customization ignored","Phone","Moderate","I requested no cheese, but that customization was ignored. I hope this can be addressed before my next visit."
"CUST-82667","2026-01-15","Warrington, PA","Delivery","Wrong address/dropoff","DoorDash","High","The driver left my order at the wrong house. Please contact me about a refund or replacement."
"CUST-37549","2026-02-24","Philadelphia, PA","Food Quality","Undercooked/overcooked","In-store","Moderate","The meat in the taco salad was cooked far too long and was tough."
"CUST-32241","2025-11-18","New Britain, PA","Cleanliness","Food handling","Uber Eats","High","I was concerned by the way employees were handling ready-to-eat ingredients."
"CUST-36100","2025-11-29","Warrington, PA","Order Accuracy","Customization ignored","Email","Low","My dietary customization (mild salsa) was not honored."
"CUST-60328","2026-06-19","Allentown, PA","Food Quality","Incorrect preparation","Phone","Moderate","The kitchen ignored my request for no onions."
"CUST-77889","2025-11-21","Allentown, PA","Order Accuracy","Missing item","Mobile App","High","We got home and realized one of the taco salad items was missing."
"CUST-68008","2026-05-14","Cherry Hill, NJ","Food Quality","Incorrect preparation","Google Review","High","I asked for extra salsa, but the guacamole was made incorrectly."
"CUST-42406","2026-04-01","Willow Grove, PA","Cleanliness","Food handling","Uber Eats","Moderate","The food preparation area did not look clean."
"CUST-54020","2026-08-01","King of Prussia, PA","Billing & Pricing","Duplicate charge","Email","Moderate","I see two identical charges for one purchase."
"CUST-63424","2026-07-28","King of Prussia, PA","App & Online Ordering","App error","Phone","Low","The app crashed while I was trying to place my order."
"CUST-85456","2026-05-27","Philadelphia, PA","Service","Slow service","In-store","High","I waited 45 minutes for a simple order."
"CUST-45774","2026-05-07","Philadelphia, PA","Service","Slow service","Phone","Moderate","Service was extremely slow even though the restaurant was not busy."
"CUST-87580","2025-10-05","Cherry Hill, NJ","Service","Slow service","In-store","High","Service was extremely slow even though the restaurant was not busy."
"CUST-52840","2026-02-11","King of Prussia, PA","Delivery","Late delivery","Google Review","Low","The delivery estimate kept changing and my food arrived much later than promised. I tried to resolve it at the restaurant but did not get much help."
"CUST-55870","2026-05-04","Lansdale, PA","Billing & Pricing","Promotion not applied","In-store","Urgent","I used a valid coupon, but the discount was not reflected in my total."
"CUST-72070","2026-06-15","New Britain, PA","Delivery","Wrong address/dropoff","Mobile App","Moderate","The driver left my order at the wrong house."
"CUST-31465","2026-08-03","Willow Grove, PA","Delivery","Late delivery","Website","High","The order was very late and the food was cold by the time it arrived. I hope this can be addressed before my next visit."
"CUST-92213","2025-11-10","Lansdale, PA","Food Quality","Cold food","Website","Moderate","The churros tasted like it had been sitting out for a while."
"CUST-19038","2026-01-25","Princeton, NJ","Food Quality","Stale ingredients","DoorDash","Moderate","The churros tasted like it had been made with yesterday's ingredients."
"CUST-67080","2026-06-22","Warrington, PA","Delivery","Late delivery","Uber Eats","Moderate","The order was very late and the food was cold by the time it arrived."
"CUST-42177","2026-08-10","New Britain, PA","Billing & Pricing","Duplicate charge","Email","Moderate","I see two identical charges for one purchase."
"CUST-43862","2025-11-02","King of Prussia, PA","Order Accuracy","Wrong item","Uber Eats","Low","I ordered a guacamole, but received a completely different item. I tried to resolve it at the restaurant but did not get much help."
"CUST-74038","2025-09-13","Princeton, NJ","Order Accuracy","Customization ignored","Phone","Moderate","My dietary customization (no cheese) was not honored."
"CUST-41890","2025-09-17","Willow Grove, PA","Billing & Pricing","Duplicate charge","Email","Moderate","I see two identical charges for one purchase."
"CUST-69473","2026-05-09","Willow Grove, PA","Delivery","Damaged/spilled","Google Review","Moderate","My street corn was crushed during delivery."
"CUST-73464","2026-07-20","Willow Grove, PA","Order Accuracy","Missing item","Mobile App","Low","My order was missing the taco salad. I hope this can be addressed before my next visit."
"CUST-80010","2025-10-31","Warrington, PA","Billing & Pricing","Duplicate charge","Email","Low","The payment failed in the app, but I was still charged twice. I tried to resolve it at the restaurant but did not get much help."
"CUST-67733","2026-05-21","King of Prussia, PA","Order Accuracy","Missing item","Email","Moderate","We got home and realized one of the rice bowl items was missing. This was especially frustrating because I was ordering during my lunch break."
"CUST-83772","2025-09-07","Willow Grove, PA","Food Quality","Cold food","In-store","Low","The guacamole tasted like it had been sitting out for a while."
"CUST-59856","2026-06-13","Allentown, PA","Food Quality","Incorrect preparation","Phone","High","I asked for no cilantro, but the street corn was made incorrectly."
"CUST-37235","2026-06-09","Lansdale, PA","App & Online Ordering","Order not received","Website","High","My online order disappeared even though my payment went through."
"CUST-71592","2026-02-26","Willow Grove, PA","Order Accuracy","Missing item","Uber Eats","Moderate","My order was missing the nachos. This was especially frustrating because I was ordering during my lunch break."
"CUST-81376","2025-12-14","Lansdale, PA","Food Quality","Stale ingredients","Phone","Moderate","The rice bowl tasted like it had been made with yesterday's ingredients."
"CUST-71433","2026-06-01","Willow Grove, PA","Delivery","Damaged/spilled","Email","Moderate","The bag arrived soaked because the salsa container spilled everywhere."
"CUST-13390","2026-03-10","New Britain, PA","Billing & Pricing","Promotion not applied","Google Review","Moderate","The app showed a deal, but the restaurant would not honor it. This was especially frustrating because I was ordering during my lunch break."
"CUST-67963","2025-10-29","Willow Grove, PA","Order Accuracy","Customization ignored","Uber Eats","Moderate","My dietary customization (no cheese) was not honored."
"CUST-23710","2026-02-26","Warrington, PA","Food Quality","Portion size","Google Review","Low","There was barely any filling in my breakfast burrito."
"CUST-62976","2026-01-09","Princeton, NJ","Order Accuracy","Customization ignored","Email","Low","The order clearly said no cilantro, and the restaurant did not follow it. This was especially frustrating because I was ordering during my lunch break."
"CUST-16764","2026-02-02","Lansdale, PA","Cleanliness","Dining area","Uber Eats","Moderate","The seating area looked like it had not been cleaned in hours. I hope this can be addressed before my next visit."
"CUST-50730","2026-06-08","Princeton, NJ","Order Accuracy","Missing item","Phone","Moderate","I paid for a guacamole, but it was not in the bag. The receipt and order confirmation both show what I originally requested."
"CUST-48254","2026-06-28","Princeton, NJ","Food Quality","Undercooked/overcooked","Mobile App","High","The nachos was badly overcooked and dry."
"CUST-76616","2026-02-13","Warrington, PA","Billing & Pricing","Promotion not applied","Phone","High","I used a valid coupon, but the discount was not reflected in my total."
"CUST-68529","2026-05-28","Princeton, NJ","App & Online Ordering","Order not received","Uber Eats","High","The app confirmed my order, but the restaurant had no record of it. I tried to resolve it at the restaurant but did not get much help."
"CUST-40613","2025-11-05","Philadelphia, PA","Service","Slow service","Phone","Moderate","It took 50 minutes before my order was ready."
"CUST-87356","2025-08-19","King of Prussia, PA","Food Quality","Undercooked/overcooked","Mobile App","High","The meat in the chips and queso was cooked far too long and was tough."
"CUST-44737","2026-02-26","King of Prussia, PA","App & Online Ordering","Order not received","Mobile App","Low","I placed and paid for an online order, but the store said they never received it."
"CUST-14705","2026-01-10","Cherry Hill, NJ","Delivery","Damaged/spilled","Uber Eats","High","The delivery bag was damaged and food had spilled inside it."
"CUST-49251","2026-06-21","Doylestown, PA","Food Quality","Stale ingredients","Website","Moderate","The ingredients in my taco salad did not taste fresh."
"CUST-20350","2026-02-27","Cherry Hill, NJ","Food Quality","Cold food","Mobile App","Low","The fish tacos tasted like it had been sitting out for a while. I hope this can be addressed before my next visit."
"CUST-97404","2026-06-23","Doylestown, PA","App & Online Ordering","Menu mismatch","Email","Moderate","The online menu showed options that this location does not carry. Please contact me about a refund or replacement."
"CUST-65615","2026-01-24","Willow Grove, PA","App & Online Ordering","Order not received","Email","Moderate","The app confirmed my order, but the restaurant had no record of it."
"CUST-48696","2026-01-31","Doylestown, PA","Service","Slow service","Email","Urgent","I waited 20 minutes for a simple order. I hope this can be addressed before my next visit."
"CUST-56179","2025-12-25","Lansdale, PA","Product Availability","Substitution","Phone","Moderate","The restaurant replaced my chicken tacos without contacting me."
"CUST-67779","2026-06-27","Doylestown, PA","Delivery","Wrong address/dropoff","In-store","Moderate","My order was marked delivered, but it was not at my door."
"CUST-80701","2025-10-29","King of Prussia, PA","Delivery","Wrong address/dropoff","Phone","Moderate","The driver left my order at the wrong house."
"CUST-19869","2026-01-21","Warrington, PA","Service","Slow service","Website","Moderate","I waited 35 minutes for a simple order."
"CUST-26199","2026-02-19","Allentown, PA","Billing & Pricing","Overcharged","In-store","Low","My total was incorrect and I appear to have been overcharged."
"CUST-83584","2026-03-30","King of Prussia, PA","Order Accuracy","Customization ignored","In-store","Moderate","My dietary customization (no cilantro) was not honored. I have ordered from Taco Alley before and expected better."
"CUST-14877","2025-09-29","Willow Grove, PA","App & Online Ordering","App error","Mobile App","Low","The mobile app would not let me complete checkout."
"CUST-30253","2026-07-10","Philadelphia, PA","Product Availability","Out of stock","DoorDash","Moderate","The restaurant was out of nachos again."
"CUST-40947","2025-11-20","King of Prussia, PA","Delivery","Damaged/spilled","Uber Eats","Moderate","The delivery bag was damaged and food had spilled inside it."
"CUST-69600","2025-11-06","New Britain, PA","Food Quality","Stale ingredients","Website","High","The breakfast burrito tasted like it had been made with yesterday's ingredients."
"CUST-36896","2025-12-03","New Britain, PA","Delivery","Wrong address/dropoff","Mobile App","High","The delivery photo showed a location that was not my address."
"CUST-28964","2025-10-15","Warrington, PA","Cleanliness","Food handling","In-store","Moderate","I saw an employee handle food and then touch the register without changing gloves."
"CUST-44782","2026-05-29","Doylestown, PA","Service","Rude staff","Google Review","Low","The employee at the counter was dismissive when I asked about my order. I have ordered from Taco Alley before and expected better."
"CUST-39038","2026-02-02","Cherry Hill, NJ","Food Quality","Undercooked/overcooked","Website","High","The meat in the steak burrito was cooked far too long and was tough."
"CUST-74260","2026-02-22","Allentown, PA","Food Quality","Portion size","DoorDash","Moderate","There was barely any filling in my guacamole."
"CUST-88301","2026-06-21","Princeton, NJ","Food Quality","Cold food","Google Review","Moderate","The churros tasted like it had been sitting out for a while. I hope this can be addressed before my next visit."
"CUST-39949","2026-06-30","Philadelphia, PA","Order Accuracy","Customization ignored","Phone","Moderate","My dietary customization (no onions) was not honored."
"CUST-30006","2026-07-07","Allentown, PA","Order Accuracy","Wrong item","Email","Moderate","The bag had someone else's chips and queso instead of mine."
"CUST-83608","2026-05-12","Princeton, NJ","Food Quality","Cold food","In-store","Moderate","My chips and queso was cold when I received it."
"CUST-85748","2026-06-04","Princeton, NJ","Order Accuracy","Missing item","Email","Moderate","I paid for a fish tacos, but it was not in the bag."
"CUST-83526","2025-12-21","Cherry Hill, NJ","Food Quality","Undercooked/overcooked","Phone","High","The steak burrito was badly overcooked and dry."
"CUST-33777","2026-01-06","Warrington, PA","Delivery","Wrong address/dropoff","Google Review","Moderate","The delivery photo showed a location that was not my address. The receipt and order confirmation both show what I originally requested."
"CUST-54681","2025-11-19","Warrington, PA","Delivery","Damaged/spilled","DoorDash","Moderate","The bag arrived soaked because the salsa container spilled everywhere."
"CUST-96761","2025-08-26","Philadelphia, PA","Order Accuracy","Customization ignored","Website","Low","The order clearly said no onions, and the restaurant did not follow it. I hope this can be addressed before my next visit."
"CUST-87743","2025-09-26","Allentown, PA","Service","Slow service","Email","Moderate","Service was extremely slow even though the restaurant was not busy. Please contact me about a refund or replacement."
"CUST-43491","2026-01-02","Willow Grove, PA","Service","Slow service","Phone","Moderate","I waited 75 minutes for a simple order. I have ordered from Taco Alley before and expected better."
"CUST-97562","2026-07-27","King of Prussia, PA","Order Accuracy","Missing item","Phone","Moderate","I paid for a taco salad, but it was not in the bag. I hope this can be addressed before my next visit."
"CUST-93904","2026-05-22","Philadelphia, PA","Food Quality","Cold food","DoorDash","Moderate","The chicken tacos tasted like it had been sitting out for a while."
"CUST-23875","2026-07-20","Lansdale, PA","Order Accuracy","Wrong item","Google Review","Low","I ordered a fish tacos, but received a completely different item."
"CUST-20011","2025-11-22","Princeton, NJ","Service","Slow service","Google Review","High","It took 35 minutes before my order was ready."
"CUST-29194","2026-06-27","Willow Grove, PA","Delivery","Wrong address/dropoff","Mobile App","Moderate","The delivery photo showed a location that was not my address."
"CUST-83889","2026-06-18","Cherry Hill, NJ","Food Quality","Portion size","Uber Eats","Moderate","The portion of breakfast burrito was much smaller than I expected for the price."
"CUST-46002","2026-03-29","Cherry Hill, NJ","Service","Ignored customer","Uber Eats","Moderate","I had to ask three times before someone would check on my order. This was especially frustrating because I was ordering during my lunch break."
"CUST-21835","2025-12-25","Cherry Hill, NJ","Food Quality","Portion size","Website","Moderate","The portion of rice bowl was much smaller than I expected for the price. I tried to resolve it at the restaurant but did not get much help."
"CUST-72341","2026-05-20","Princeton, NJ","Delivery","Damaged/spilled","Phone","Low","My churros was crushed during delivery."
"CUST-67377","2025-10-28","Allentown, PA","Food Quality","Cold food","In-store","Low","The steak burrito tasted like it had been sitting out for a while."
"CUST-94843","2026-01-21","King of Prussia, PA","Service","Ignored customer","In-store","High","I stood at the counter for several minutes before anyone acknowledged me."
"CUST-86380","2026-06-05","Warrington, PA","Food Quality","Cold food","Mobile App","Low","Everything in my order was lukewarm, especially the breakfast burrito. The receipt and order confirmation both show what I originally requested."
"CUST-94343","2025-09-13","King of Prussia, PA","App & Online Ordering","Order not received","Email","Moderate","My online order disappeared even though my payment went through."
"CUST-38074","2025-08-10","King of Prussia, PA","Cleanliness","Food handling","Google Review","Moderate","I was concerned by the way employees were handling ready-to-eat ingredients."
"CUST-91006","2026-04-17","Warrington, PA","Product Availability","Substitution","In-store","Moderate","My order included a substitution I was never asked to approve. This was especially frustrating because I was ordering during my lunch break."
"CUST-90031","2026-07-13","Willow Grove, PA","Delivery","Late delivery","Phone","Urgent","My delivery arrived 50 minutes later than the estimate. I tried to resolve it at the restaurant but did not get much help."
"CUST-84766","2026-03-29","Allentown, PA","Billing & Pricing","Promotion not applied","Phone","Moderate","The advertised promotion did not apply at checkout."
"CUST-16839","2026-06-06","Allentown, PA","Service","Slow service","Mobile App","High","Service was extremely slow even though the restaurant was not busy."
"CUST-29313","2025-12-18","Philadelphia, PA","App & Online Ordering","Menu mismatch","Uber Eats","High","The app let me order an item that the restaurant said was unavailable. I have ordered from Taco Alley before and expected better."
"CUST-20696","2026-02-08","King of Prussia, PA","Food Quality","Incorrect preparation","Phone","Moderate","The kitchen ignored my request for no cheese. I hope this can be addressed before my next visit."
"CUST-71487","2026-03-30","Allentown, PA","Order Accuracy","Wrong item","Mobile App","Moderate","I ordered a taco salad, but received a completely different item. I tried to resolve it at the restaurant but did not get much help."
"CUST-47762","2026-08-08","Lansdale, PA","Delivery","Late delivery","DoorDash","Low","My delivery arrived 25 minutes later than the estimate."
"CUST-85372","2026-06-02","Lansdale, PA","Order Accuracy","Missing item","In-store","Moderate","My order was missing the chips and queso. Please contact me about a refund or replacement."
"CUST-57265","2025-11-04","New Britain, PA","Billing & Pricing","Promotion not applied","Website","Moderate","I used a valid coupon, but the discount was not reflected in my total."
"CUST-18855","2025-12-08","King of Prussia, PA","Product Availability","Out of stock","In-store","Moderate","Several menu items were unavailable when I tried to order."
"CUST-99742","2026-01-21","Allentown, PA","Order Accuracy","Customization ignored","Mobile App","High","My dietary customization (mild salsa) was not honored. I hope this can be addressed before my next visit."
"CUST-15741","2026-03-23","Lansdale, PA","Product Availability","Substitution","In-store","Low","I would rather have received a refund than an unrequested substitution."
"CUST-16265","2025-08-19","King of Prussia, PA","App & Online Ordering","Order not received","Phone","Low","The app confirmed my order, but the restaurant had no record of it."
"CUST-58148","2025-11-04","Princeton, NJ","Order Accuracy","Wrong item","Uber Eats","Moderate","The bag had someone else's chips and queso instead of mine."
"CUST-20494","2025-11-01","King of Prussia, PA","Order Accuracy","Missing item","Email","Low","We got home and realized one of the chips and queso items was missing."
"CUST-56210","2026-01-27","Cherry Hill, NJ","Delivery","Damaged/spilled","Uber Eats","Low","My churros was crushed during delivery."
"CUST-28714","2026-07-14","Cherry Hill, NJ","Product Availability","Substitution","Mobile App","High","I would rather have received a refund than an unrequested substitution."
"CUST-84349","2026-02-04","Doylestown, PA","Billing & Pricing","Promotion not applied","Google Review","Moderate","The advertised promotion did not apply at checkout."
"CUST-62171","2026-05-21","King of Prussia, PA","Delivery","Wrong address/dropoff","Mobile App","High","My order was marked delivered, but it was not at my door."
"CUST-44116","2026-05-15","Allentown, PA","Delivery","Late delivery","Website","Low","My delivery arrived 50 minutes later than the estimate."
"CUST-68341","2026-03-20","New Britain, PA","Food Quality","Portion size","Mobile App","High","There was barely any filling in my taco salad. This was especially frustrating because I was ordering during my lunch break."
"CUST-93584","2026-01-01","Warrington, PA","Cleanliness","Restroom","Mobile App","Moderate","The restroom was in poor condition and supplies were empty."
"CUST-58353","2025-08-14","Allentown, PA","Cleanliness","Food handling","Google Review","High","I saw an employee handle food and then touch the register without changing gloves. Please contact me about a refund or replacement."
"CUST-63665","2026-08-04","Cherry Hill, NJ","Cleanliness","Food handling","Uber Eats","High","I saw an employee handle food and then touch the register without changing gloves. The receipt and order confirmation both show what I originally requested."
"CUST-82260","2026-01-24","Cherry Hill, NJ","Food Quality","Stale ingredients","Mobile App","High","The steak burrito tasted like it had been made with yesterday's ingredients."
"CUST-39552","2026-01-03","King of Prussia, PA","Food Quality","Incorrect preparation","Mobile App","Low","The kitchen ignored my request for no cheese."
"CUST-32103","2026-01-03","Cherry Hill, NJ","Product Availability","Substitution","Website","Moderate","My order included a substitution I was never asked to approve. The receipt and order confirmation both show what I originally requested."
"CUST-85598","2025-09-11","Willow Grove, PA","Product Availability","Out of stock","In-store","High","The restaurant was out of breakfast burrito again. This was especially frustrating because I was ordering during my lunch break."
"CUST-49596","2026-05-07","Allentown, PA","Delivery","Wrong address/dropoff","Email","High","My order was marked delivered, but it was not at my door."
"CUST-70875","2025-10-20","Lansdale, PA","Order Accuracy","Customization ignored","Uber Eats","Moderate","The order clearly said extra guacamole, and the restaurant did not follow it."
"CUST-23917","2025-10-06","King of Prussia, PA","Order Accuracy","Missing item","Google Review","Moderate","I paid for a taco salad, but it was not in the bag."
"CUST-30932","2026-02-13","King of Prussia, PA","Order Accuracy","Missing item","DoorDash","Low","I paid for a guacamole, but it was not in the bag. I tried to resolve it at the restaurant but did not get much help."
"CUST-75191","2026-03-28","Doylestown, PA","App & Online Ordering","Menu mismatch","Uber Eats","High","Prices in the app did not match the prices at the store."
"CUST-88317","2025-08-25","Allentown, PA","Food Quality","Undercooked/overcooked","In-store","Moderate","The meat in the guacamole was cooked far too long and was tough."
"CUST-16705","2026-02-23","Cherry Hill, NJ","Order Accuracy","Missing item","Google Review","Low","My order was missing the chips and queso."
"CUST-91689","2026-05-09","Cherry Hill, NJ","Delivery","Damaged/spilled","Email","High","The delivery bag was damaged and food had spilled inside it."
"CUST-62610","2025-10-13","Princeton, NJ","Food Quality","Cold food","Phone","Moderate","The fish tacos tasted like it had been sitting out for a while."
"CUST-90356","2025-10-16","King of Prussia, PA","Food Quality","Cold food","Mobile App","Low","My taco salad was cold when I received it."
"CUST-49294","2026-04-30","Allentown, PA","Food Quality","Portion size","Uber Eats","Moderate","The serving size has gotten noticeably smaller."
"CUST-44803","2026-08-07","Cherry Hill, NJ","Cleanliness","Restroom","In-store","Moderate","The bathroom needed immediate cleaning."
"CUST-99224","2026-08-05","Lansdale, PA","Delivery","Wrong address/dropoff","DoorDash","Moderate","The driver left my order at the wrong house."
"CUST-90147","2026-02-28","Allentown, PA","Food Quality","Cold food","Phone","Moderate","My chicken tacos was cold when I received it."
"CUST-51124","2026-07-06","Warrington, PA","App & Online Ordering","Menu mismatch","Uber Eats","Moderate","The online menu showed options that this location does not carry. I tried to resolve it at the restaurant but did not get much help."
"CUST-49124","2025-11-07","Lansdale, PA","Service","Ignored customer","Phone","Low","Multiple employees walked past me without offering help."
"CUST-85166","2026-05-14","Princeton, NJ","Product Availability","Substitution","Email","Low","The restaurant replaced my taco salad without contacting me. I tried to resolve it at the restaurant but did not get much help."
"CUST-95979","2025-09-10","Willow Grove, PA","Order Accuracy","Wrong item","Google Review","High","The bag had someone else's quesadilla instead of mine. The receipt and order confirmation both show what I originally requested."
"CUST-86917","2025-10-10","Lansdale, PA","Billing & Pricing","Overcharged","Website","Moderate","I was charged more than the price shown on the menu."
"CUST-28018","2026-08-03","Doylestown, PA","Order Accuracy","Customization ignored","Uber Eats","Low","My dietary customization (gluten-free preparation) was not honored. I tried to resolve it at the restaurant but did not get much help."
"CUST-17754","2025-12-26","New Britain, PA","Product Availability","Out of stock","Google Review","Low","Several menu items were unavailable when I tried to order."
"CUST-62034","2025-10-30","Allentown, PA","Delivery","Late delivery","In-store","Urgent","The delivery estimate kept changing and my food arrived much later than promised."
"CUST-94058","2026-01-19","Princeton, NJ","Food Quality","Stale ingredients","Email","Moderate","The ingredients in my chicken tacos did not taste fresh."
"CUST-94972","2026-01-17","Willow Grove, PA","Service","Rude staff","Mobile App","Moderate","Customer service was poor and the cashier was unnecessarily disrespectful."
"CUST-93719","2025-11-07","Philadelphia, PA","Billing & Pricing","Overcharged","Mobile App","Moderate","My total was incorrect and I appear to have been overcharged."
"CUST-10895","2026-04-02","Willow Grove, PA","Cleanliness","Food handling","Google Review","Urgent","The food preparation area did not look clean. I have ordered from Taco Alley before and expected better."
"CUST-40972","2025-08-06","Doylestown, PA","Order Accuracy","Wrong item","Email","Moderate","The bag had someone else's fish tacos instead of mine."
"CUST-93717","2026-07-27","Willow Grove, PA","Delivery","Damaged/spilled","Email","Moderate","My quesadilla was crushed during delivery."
"CUST-81989","2026-06-07","Allentown, PA","Order Accuracy","Missing item","Google Review","Moderate","My order was missing the quesadilla."
"CUST-83946","2026-07-27","New Britain, PA","Billing & Pricing","Duplicate charge","Google Review","Low","My card was charged twice for the same order."
"CUST-36922","2026-04-24","Cherry Hill, NJ","Food Quality","Portion size","Uber Eats","Low","The serving size has gotten noticeably smaller."
"CUST-98181","2026-03-22","Willow Grove, PA","Service","Ignored customer","In-store","Moderate","Multiple employees walked past me without offering help."
"CUST-17897","2026-01-24","New Britain, PA","Billing & Pricing","Promotion not applied","Website","Moderate","I used a valid coupon, but the discount was not reflected in my total. Please contact me about a refund or replacement."
"CUST-60132","2026-06-25","Allentown, PA","Product Availability","Substitution","DoorDash","Moderate","My order included a substitution I was never asked to approve."
"CUST-39188","2026-02-18","Doylestown, PA","App & Online Ordering","Order not received","Mobile App","Moderate","The app confirmed my order, but the restaurant had no record of it. I hope this can be addressed before my next visit."
"CUST-30332","2025-11-26","Willow Grove, PA","Billing & Pricing","Promotion not applied","Phone","Moderate","I used a valid coupon, but the discount was not reflected in my total."
"CUST-23224","2025-08-09","Cherry Hill, NJ","Food Quality","Cold food","Phone","Low","My breakfast burrito was cold when I received it."
"CUST-38477","2026-02-22","Doylestown, PA","Food Quality","Portion size","Uber Eats","Low","The serving size has gotten noticeably smaller."
"CUST-28777","2026-07-11","Princeton, NJ","Food Quality","Stale ingredients","Google Review","Low","The ingredients in my taco salad did not taste fresh."
"CUST-97994","2025-08-25","Philadelphia, PA","Order Accuracy","Wrong item","Google Review","High","The bag had someone else's chicken tacos instead of mine."
